127.0.0.1 - - [07/Mar/2020:17:52:40 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Mar/2020:17:52:43 +0900] "GET /cris/mng/pop/mainPopList.do?_=1583571163254 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Mar/2020:17:52:43 +0900] "GET /cris/resources/images/main/logo.png HTTP/1.1" 200 6561
0:0:0:0:0:0:0:1 - - [07/Mar/2020:17:52:43 +0900] "GET /cris/echo-ws/info?t=1583571163795 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [07/Mar/2020:17:52:43 +0900] "GET /cris/echo-ws/642/uqirxenn/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:18 +0900] "GET /cris/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:19 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Fboard%2FwriteBoard.do&_=1583571918763 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:19 +0900] "GET /cris/mng/form/selectBoardDetail.do?frm_id=NB&brd_seq=14 HTTP/1.1" 200 8483
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:20 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:45 +0900] "GET /cris/index/index.do HTTP/1.1" 200 21154
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:47 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Findex%2Findex.do&_=1583571947254 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:47 +0900] "GET /cris/mng/pop/mainPopList.do?_=1583571947255 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:47 +0900] "GET /cris/echo-ws/info?t=1583571947408 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:47 +0900] "GET /cris/echo-ws/859/4sukvroz/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:51 +0900] "GET /cris/mng/menu/listMenu.do HTTP/1.1" 200 59130
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:52 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Fmng%2Fmenu%2FlistMenu.do&_=1583571951880 HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:52 +0900] "POST /cris/mng/menu/readMenuList.do HTTP/1.1" 200 12593
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:52 +0900] "GET /cris/mng/menu/readMenuRolList.do?menu_id=WRITE HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:55 +0900] "GET /cris/mng/user/userList.do HTTP/1.1" 200 51398
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:55 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Fmng%2Fuser%2FuserList.do&_=1583571955193 HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [07/Mar/2020:18:05:55 +0900] "POST /cris/mng/user/selectUserList.do HTTP/1.1" 200 10339
