127.0.0.1 - - [27/Mar/2020:09:31:51 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:05:57 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:06:13 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:06:13 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:06:13 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:03 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:03 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:03 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:09 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:09 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:09 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:29 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:29 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:35 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:35 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:11:35 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:12:14 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:12:14 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:12:14 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:15:51 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:15:51 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:15:51 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:48:06 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:48:06 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:22 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:22 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:37 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:37 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:41 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:41 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:57 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:03:57 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:04:05 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:04:05 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:05:34 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:05:34 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:05:47 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:05:47 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:12:33 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:12:33 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:14:22 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:14:22 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:24:21 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:24:21 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:27:52 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:27:52 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:28:34 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:28:34 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:28:34 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:29:22 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:29:22 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:29:22 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:31:59 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:31:59 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:31:59 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:42:24 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:42:24 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:42:24 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:44:01 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3276
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:44:02 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:44:02 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:44:02 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:45:19 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:45:19 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:45:20 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:05 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:05 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:05 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:05 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:18 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:18 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:18 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:18 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:43 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:43 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:43 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:46:43 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:40 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:40 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:40 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:40 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:44 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:44 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:48 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:50:48 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:17:52:36 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 304 -
